approved_term,synonyms,category,wrong_usages,context_examples
аналіз даних тесту,тестовий аналіз; обробка даних тесту,,,
адміністративна стандартизація,нормативне управління; адміністративне регулювання,,,
військова стандартизація,нормативи військової сфери; стандартизація для армії,,,
виконавець робіт із військової стандартизації,виконавець військових стандартів; розробник стандартів,,,
замовник робіт із військової стандартизації,замовник стандартів; ініціатор стандартів,,,
запровадження стандарту,впровадження стандарту; нормативна імплементація,,,
матеріальна стандартизація,нормалізація матеріальних ресурсів; стандартизація ресурсів,,,
міжвідомча робоча група,міжвідомча група; координаційна група,,,
міжнародна військова стандартизація,міжнародна стандартизація для військових; глобальна військова нормалізація,,,
об'єкт військової стандартизації,об'єкт військових нормативів; предмет стандартизації,,,
оперативна стандартизація,стандарти для операцій; оперативні норми,,,
орган військової стандартизації,орган регулювання військових стандартів; орган з військової нормалізації,,,
організація з військової стандартизації,організація військової нормалізації; група з військових стандартів,,,
процес військової стандартизації,процес нормалізації військових стандартів; військовий процес нормалізації,,,
регіональна військова стандартизація,регіональна нормалізація для армії; локальна військова стандартизація,,,
робоча група,трудова група; група для виконання завдань,,,
система військової стандартизації,система нормалізації військових стандартів; система військових нормативів,,,
сфера військової стандартизації,область військових стандартів; поле військової нормалізації,,,
взаємозамінність,інтерчейнджабельність; заміна компонентів,,,
взаємосумісність,сумісність; інтероперабельність,,,
відповідність призначеності,фітнес до призначення; відповідність задачі,,,
симпліфікація,спрощення; спрощений підхід,,,
сумісність,гармонія; поєднання,,,
типізація,класифікація; типологія,,,
уніфікація,стандартизація; узгодженість,,,
уніфікованість,загальність; спільність,,,
військовий стандарт,норма військових стандартів; військова норма,,,
довідник,інформаційний посібник; науковий довідник,,,
європейський стандарт,норма європейських стандартів; європейська норма,,,
каталог,перелік; список,,,
міждержавний стандарт,міжнародна норма; інтерстатус стандарт,,,
міжнародний нормативний документ,глобальний стандарт; міжнародний регламент,,,
міжнародний стандарт,глобальний стандарт; стандарт світового рівня,,,
національний стандарт,національна норма; державний стандарт,,,
нормативний документ з військової стандартизації,військовий нормативний акт; документ військової нормалізації,,,
регіональний військовий стандарт,місцева військова норма; локальний військовий стандарт,,,
регіональний стандарт,місцевий стандарт; регіональна норма,,,
словник термінів,лексикон; глосарій,,,
словник спеціальних термінів,глосарій спеціальних термінів; військовий лексикон,,,
стандарт у сфері оборони,оборонний стандарт; норма оборонної сфери,,,
військовий стандарт на методи випробування,стандарт тестування; норма випробувань військової техніки,,,
військовий стандарт на послугу,стандарт на військові послуги; норма на послуги армії,,,
військовий стандарт на предмети постачання,стандарт постачання; норма поставок військових виробів,,,
військовий стандарт на процес,норма військових процесів; стандарт виконання процесів,,,
військовий стандарт на сумісність,інтерфейсний стандарт; норма сумісності,,,
військовий термінологічний стандарт,термінологічна норма військових термінів; стандарт термінів,,,
основоположний військовий стандарт,базовий військовий стандарт; стандарт основи,,,
багатосторонньо згармонізовані військові стандарти,багатосторонньо узгоджені військові стандарти; гармонізовані військові норми,,,
гармонізовані (згармонізовані) військові стандарти,синхронізовані військові стандарти; уніфіковані військові норми,,,
двосторонньо згармонізовані військові стандарти,двосторонньо узгоджені військові стандарти; білатеральні військові стандарти,,,
ідентичні військові стандарти,однакові військові стандарти; ідентичні норми,,,
міжнародно згармонізовані військові стандарти,глобально узгоджені військові норми; гармонізовані на міжнародному рівні стандарти,,,
односторонньо узгоджений військовий стандарт,військовий стандарт; узгоджений з одного боку; однобічний узгоджений стандарт,,,
порівнювані військові стандарти,військові стандарти для порівняння; порівнювані норми,,,
регіонально згармонізовані військові стандарти,регіонально узгоджені військові стандарти; локально гармонізовані стандарти,,,
уніфіковані військові стандарти,об'єднані військові стандарти; уніфіковані норми,,,
вид,тип; категорія,,,
зміна1,корекція; внесення змін,,,
ключове слово,ключовий термін; основний термін,,,
консенсус,загальна згода; одностайність,,,
нове видання,оновлене видання; перевидання,,,
перевірка1,ревізія; контроль,,,
перевидання,друге видання; друк повторний,,,
перегляд,перевірка; ревізія,,,
поправка,виправлення; корекція,,,
принцип зворотності,правило оберненої дії; зворотний принцип,,,
програма робіт з військової стандартизації,план стандартизації; програма військових стандартів,,,
тема військової стандартизації,предмет стандартизації; тематичний військовий проект,,,
технічний зміст,технічна частина; суть технічного стандарту,,,
строк дії чинності нормативного документа,період чинності; часова рамка дії,,,
структура,побудова; організація,,,
застосування нормативного документа,імплементація стандарту; використання нормативного акту,,,
непряме застосування нормативного документа,посилання на документ; недирективне застосування,,,
"прийняття міжнародного, регіонального військового стандарту",затвердження міжнародного стандарту; введення регіональної норми,,,
"пряме застосування міжнародного, регіонального стандарту",безпосереднє використання стандарту; пряма імплементація,,,
датоване посилання (на військові стандарти),посилання зі сталою датою; фіксоване посилання на стандарти,,,
загальне посилання (на військові стандарти),загальне посилання; узагальнене посилання на стандарти,,,
недатоване посилання (на військові стандарти),нефіксоване посилання на стандарти; динамічне посилання,,,
обов'язковий військовий стандарт,норма військового обов'язку; обов'язковий стандарт,,,
посилання на військові стандарти (в нормативно-правових актах),згадка про стандарти у правових актах; нормативна прив'язка до військових стандартів,,,
багатонаціональна публікація,міжнародна публікація; публікація багатонаціональної коаліції,,,
вимога зі стандартизації,вимоги до норми; вимога стандарту,,,
вищий керівний орган НАТО,орган управління НАТО; вищий штаб НАТО,,,
додаток,апендикс; вкладення,,,
доктрина,принцип; основна доктрина,,,
документ НАТО зі стандартизації,стандарт НАТО; нормативний документ НАТО,,,
доповнення,включення; доповнення до стандарту,,,
запровадження,імплементація; введення стандарту,,,
застереження,резервація; обмеження,,,
зміна2,корекція; другий варіант зміни,,,
зовнішній стандарт,норматив не-NATO; стандарт зовнішніх сил,,,
керівний орган НАТО з делегованими повноваженнями,орган із делегованими функціями НАТО; адміністрація делегованих функцій НАТО,,,
ключова публікація,основна публікація; ключова публікація НАТО,,,
концепція,задум; ідея,,,
перевірка2,перевірка на точність; перегляд документу,,,
пов'язаний зі стандартами документ,документ стандарту; документ; що стосується норм,,,
політика,стратегія; політичний курс,,,
проєкт на стадії вивчення,дослідний проєкт; проєкт на стадії вивчення,,,
процес стандартизації НАТО,процедура стандартизації НАТО; процес прийняття стандартів НАТО,,,
ратифікація,офіційне затвердження; ратифікація стандарту,,,
ратифікаційний проєкт,проект ратифікації; затверджуваний проєкт,,,
рекомендація НАТО зі стандартизації,рекомендація стандартів НАТО; вказівка стандартів НАТО,,,
союзна публікація,міжсоюзна публікація; спільний стандарт,,,
союзна спільна публікація,публікація об'єднаних сил; спільна союзна публікація,,,
союзний стандарт,спільний стандарт; міжсоюзний стандарт,,,
стандарт НАТО,норматив НАТО; стандарт НАТО,,,
ад'юнкт,помічник професора; докторант,,,
академічна доброчесність,наукова етика; академічна чесність,,,
академічний плагіат,науковий плагіат,,,
академічна свобода,свобода досліджень,,,
аналітично-синтетична обробка,аналіз і синтез даних,,,
викладацька діяльність,педагогічна діяльність; навчання,,,
винахід,інновація; технічна розробка,,,
винахідник,інноватор; технічний розробник,,,
виробничо-орієнтована наукова установа,виробнича лабораторія; науково-виробнича установа,,,
високі технології,передові технології; хай-тек,,,
вищий військовий навчальний заклад,військова академія; військовий інститут,,,
військова техніка,оборонна техніка; армійська техніка,,,
Всесвітня організація інтелектуальної власності,ВОІВ,,,
вчений,дослідник; науковець,,,
грант,фінансування; стипендія,,,
дата пріоритету,першочергова дата; пріоритетна дата,,,
державна дослідницька інфраструктура,національна дослідницька база; державний науковий центр,,,
державна система правової охорони інтелектуальної власності,система охорони прав інтелектуальної власності,,,
державні випробування,національні випробування; державна перевірка,,,
докторант,докторський кандидат; аспірант,,,
дослідний зразок,експериментальний зразок; прототип,,,
дослідницька інфраструктура,наукова інфраструктура; лабораторна інфраструктура,,,
дослідно-конструкторська робота,експериментальна розробка; інженерна розробка,,,
ескізний проєкт зразка,первинний проєкт; план зразка,,,
захист інформації,інформаційна безпека; захист даних,,,
Європейський дослідницький простір,європейська наукова зона; наукова співпраця в Європі,,,
зброя військового призначення,оборонна зброя; військове озброєння,,,
здобувачі освіти,учні; студенти,,,
інновації,технічні нововведення; нові технології,,,
інноваційна діяльність,новаторська діяльність; впровадження новинок,,,
інноваційне підприємство,новаторське підприємство; технологічний центр,,,
інноваційна інфраструктура,новаторська база; технологічна інфраструктура,,,
кваліфікація,професійна підготовка; спеціалізація,,,
компетентність,фаховість; професіоналізм,,,
конструкторська документація,технічна документація; планування,,,
ліцензія,дозвіл; патент,,,
міжнародна заявка,глобальна заявка; інтернаціональний запит,,,
модернізація зразка,оновлення зразка; модернізація прототипу,,,
військовий,воєнний; армійський; бойовий; збройний,,,
стандарт,норма; регламент,,,
стандартизація,уніфікація; гармонізація,,,
роботи,завдання; процес; робота; активність,,,
група,команда; орган; секція; колектив,,,
міжнародний,глобальний; світовий; інтернаціональний; закордонний,,,
національний,державний; урядовий; вітчизняний; республіканський,,,
матеріальна,технічна; матеріальна база,,,
сфера,галузь; область; простір; сектор,,,
процес,процедура; діяльність; хід; операція,,,
об'єкт,предмет; ціль; мета; завдання,,,
оперативна,активна; функціональна; операційна; діюча,,,
організація,установа; агенція; об'єднання; інституція,,,
регламент,правила; норми; порядок; статут,,,
документ,акт; папір; матеріал,,,
молодий вчений,молодий дослідник; науковий новачок,,,
наукова діяльність,дослідницька діяльність; науково-дослідна робота,,,
наукова експедиція,дослідницька подорож; наукова місія,,,
наукова  науково-технічна продукція,наукова продукція; технічна продукція,,,
наукова  науково-технічна робота,наукова праця; дослідницька робота,,,
наукова  науково-дослідна науково-технологічна науково-технічна науково-практична установа,наукова установа; дослідницький інститут,,,
наукове видавництво,дослідницьке видавництво,,,
наукове видання,дослідницьке видання,,,
наукове супроводження,дослідницька підтримка,,,
науковий підрозділ,дослідницький підрозділ; науковий відділ,,,
науковий працівник,дослідник; науковець,,,
науковий  науково-технічний проєкт,дослідницький проєкт; технічний проєкт,,,
науковий результат,дослідницький результат; підсумок досліджень,,,
науково-інформаційна діяльність,інформаційна робота в науці; науково-інформаційна робота,,,
науково-організаційна діяльність,організаційна діяльність в науці,,,
науково-педагогічна діяльність,дослідницько-викладацька діяльність,,,
науково-педагогічний працівник,викладач-дослідник,,,
науково-технічна інформація,технічні дані; науково-технічні дані,,,
науково-технічна діяльність,технічні дослідження; дослідницька технічна робота,,,
науково-технічне супроводження,технічний супровід,,,
науково-технічний  прикладний  результат,практичний результат,,,
науково-технічні (експериментальні) розробки,технічні експерименти; наукові розробки,,,
національний орган інтелектуальної власності ; НОІВ,орган захисту інтелектуальної власності,,,
ноу-хау,інновація; технологічний секрет,,,
озброєння,зброя; військова техніка,,,
основна діяльність наукових установ,головна діяльність наукових інститутів,,,
"патент (на винахід, на секретний винахід, на корисну модель, на секретну корисну модель)",право на винахід; патент на модель,,,
патентна чистота,вільність від патентів,,,
прийняття на озброєння  постачання зразка,введення в експлуатацію; доставка зразка,,,
прикладні наукові дослідження,практичні дослідження; дослідницька робота,,,
пріоритетні напрями розвитку науки і техніки,основні напрямки науки; пріоритети в науці,,,
пріоритетні тематичні напрями наукових досліджень і науково-технічних розробок,головні напрямки наукових досліджень,,,
продукція оборонного призначення,оборонна продукція; військова продукція,,,
реєстр,список; перелік,,,
самоплагіат,повторна публікація; автоплагіат,,,
секретний винахід ; секретна корисна модель,таємний винахід; секретна розробка,,,
службовий винахід ; службова корисна модель,офіційний винахід,,,
тактико-технічне завдання,технічне завдання; тактичне завдання,,,
тактико-технічне  технічне завдання на виконання дослідно-конструкторських робіт,завдання на проектування; розробницьке завдання,,,
технічна документація,технічні папери; документація,,,
технічне завдання,завдання на проектування,,,
технічний проєкт зразка,проект прототипу,,,
технічні засоби захисту,засоби безпеки,,,
технологічна документація,інструкції; технологічні документи,,,
технологія,метод; техніка,,,
технології подвійного призначення,технології для подвійного використання; двосторонні технології,,,
трансфер технології,передача технологій,,,
уповноважений орган з питань формування та забезпечення реалізації державної політики у сфері трансферу технологій,орган з передачі технологій,,,
фабрикація,виробництво; виготовлення,,,
фундаментальні наукові дослідження,базові дослідження; основні наукові роботи,,,
агентство,установа; організація,,,
актор,учасник; фігурант,,,
аналітик,дослідник; експерт,,,
автоматизована система управління військової розвідки ; АСУВР,,,,
ведення {вести} розвідки,проведення розвідки; управління розвідкою,,,
викриття {викривати} об'єкта розвідки,виявлення об'єкта розвідки; розкриття інформації,,,
вимоги до розвідки,правила розвідки; нормативи розвідки,,,
виявлення {виявляти} об'єкта розвідки,розкриття об'єкта розвідки; знаходження об'єкта,,,
взаємодія сил і засобів розвідки,координація розвідувальних сил; спільна робота розвідки,,,
воєнна розвідка,військова розвідка,,,
добування,отримання; видобування інформації,,,
дійова особа,учасник дії; персонаж,,,
доведення (розвідувальної інформації),передача розвідданих,,,
дорозвідка,додаткова розвідка; поглиблена розвідка,,,
ефективність розвідки,результативність розвідки; продуктивність розвідувальних дій,,,
зона (відповідальності за) ведення розвідки,район розвідки,,,
зона район детальної розвідки,детальна зона розвідки,,,
зона оглядової розвідки,оглядова зона розвідки,,,
зона спостереження,сектор спостереження; область моніторингу,,,
індикатор,показник,,,
інформаційна робота ІР,інформаційна діяльність,,,
інформаційно-аналітична діяльність (у воєнній розвідці),аналітична робота в розвідці,,,
інформаційно-аналітична робота ІАР,аналітична робота,,,
"комплексн а розвідка, спостереження та дорозвідка",комплексна операція розвідки,,,
комплект розвідки,набір обладнання розвідки; інструментарій розвідки,,,
маневр силами і засобами розвідки,перегрупування розвідувальних сил; операція з маневрування,,,
мета розвідки,ціль розвідки; завдання розвідувальної операції,,,
нарощування {нарощувати} зусиль розвідки,підсилення розвідки,,,
націлювання,визначення цілі; планування цілей,,,
"область (зона, район) інтересів розвідки",зона інтересів,,,
об'єднана розвідка,спільна розвідка,,,
об'єднана розвідувальна оцінка оперативної обстановки,спільна оцінка обстановки,,,
об'єкт розвідки,ціль розвідки,,,
обробка (розвідувальної інформації),аналіз розвідувальної інформації,,,
організація розвідки,управління розвідкою; координація розвідувальних дій,,,
першочергові (важливі); найважливіші об'єкти розвідки,головні цілі розвідки,,,
планування {планувати} розвідки,розробка плану розвідки,,,
попереднє вивчення об'єкта розвідки,попередній аналіз об'єкта,,,
район особливої уваги,зона підвищеної уваги; критична область,,,
розвідка,розвідувальна діяльність; розвідоперація,,,
розвідка противника,спостереження за ворогом; військова розвідка противника,,,
"розвідка спільна, спостереження і виявлення",спільне виявлення,,,
розвідувальна архітектура,структура розвідки,,,
розвідувальна інформація; РІ,інформація з розвідки,,,
розвідувальна інформація стратегічного рівня,стратегічні дані,,,
розвідувальна інформація оперативного рівня,оперативні дані,,,
розвідувальна ознака,ознака розвідки; індикатор розвідки,,,
розвідувальна операція,операція розвідки,,,
розвідувальне забезпечення стратегічних комунікацій,підтримка стратегічної комунікації,,,
розвідувальне завдання,операція розвідки; завдання розвідників,,,
розвідувальний орган держави,орган державної розвідки,,,
розвідувальний цикл; РЦ,операційний цикл розвідки; цикл розвідувальних заходів,,,
розвідувальний контакт,зв'язок розвідників; контакт з об'єктом,,,
розвідувальні відомості; РВ,дані розвідки; звіт розвідки,,,
розвідувальні дані; РД,інформація розвідки; збір даних,,,
розвідувальні матеріали; РМ,матеріали для аналізу; документи розвідки,,,
розвідувально-інформаційна робота,аналітична робота розвідки,,,
сигнатурний метод,метод підпису,,,
система воєнної розвідки,військова розвідувальна система,,,
споживач (розвідувальної інформації),користувач даних; отримувач розвідки,,,
спроможності з розвідки,можливості розвідки,,,
суб'єкт розвідувальної діяльності,учасник розвідки,,,
управління розвідкою,контроль розвідки; координація розвідки,,,
агентурна розвідка,шпигунська розвідка,,,
акустична розвідка,розвідка звуків; розвідка акустичних сигналів,,,
артилерійська розвідка,розвідка артилерії; моніторинг артилерійських позицій,,,
біологічна розвідка,розвідка біологічних об'єктів,,,
хімічна розвідка,розвідка хімічних речовин,,,
радіологічна розвідка,радіоактивна розвідка,,,
ядерна розвідка,розвідка ядерних об'єктів,,,
видова розвідка,моніторинг зображень; візуальна розвідка,,,
візуальна розвідка,розвідка зображень; спостереження,,,
звукова розвідка,розвідка на основі звуків,,,
військова розвідка,розвідувальна діяльність армії; воєнна розвідка,,,
геопросторова розвідка,розвідка території,,,
гідроакустична розвідка,розвідка під водою,,,
гідрографічна розвідка,розвідка водних ресурсів,,,
гідрометеорологічна розвідка,розвідка погоди; моніторинг метеоумов,,,
звукометрична розвідка,моніторинг звуків; розвідка звукових сигналів,,,
інтегрована розвідка,комплексна розвідка,,,
інженерна розвідка,технічна розвідка; інженерний моніторинг,,,
кібернетична розвідка,комп'ютерна розвідка,,,
космічна розвідка,розвідка космічного простору,,,
лазерна розвідка,розвідка за допомогою лазерів,,,
магнітометрична розвідка,розвідка магнітних полів,,,
медична розвідка,розвідка медичних даних,,,
морська розвідка,флотська розвідка,,,
наземна розвідка,розвідка наземних об'єктів,,,
наукова розвідка,дослідження,,,
оперативна розвідка,оперативне спостереження; швидка розвідка,,,
оптична розвідка,розвідка за допомогою оптики,,,
оптико-електронна розвідка,електронна оптична розвідка,,,
параметрична розвідка,розвідка параметрів,,,
сигнатурна розвідка,розвідка за підписами,,,
повітряна розвідка,авіаційна розвідка,,,
радіоелектронна розвідка,моніторинг радіохвиль; електронна розвідка,,,
