approved_term,synonyms,category,wrong_usages,context_examples
автоматизована система управління військової розвідки; АСУВР,автоматизована розвідувальна система; АСУ військової розвідки,,,
аналіз розвідувальної інформації,обробка розвідданих; аналіз розвідувальних даних,,,
ведення розвідки,проведення розвідки; розвідувальні операції,,,
вивчення об'єкта розвідки,аналіз розвідки; оцінка розвідуваного об'єкта,,,
викриття об'єкта розвідки,розкриття об'єкта розвідки; виявлення противника,,,
виявлення об'єкта розвідки,ідентифікація об'єкта розвідки; знаходження цілі,,,
глибина розвідки,дистанція розвідки; глибина аналізу,,,
дальність розвідки,радіус розвідки; обсяг розвідувальних даних,,,
демаскувальна ознака,ознака викриття; ознака розкриття,,,
доведення розвідувальної інформації,передача розвідувальних даних; надання інформації,,,
ешелонування спостережних постів,ротація спостережних пунктів; розподіл постів спостереження,,,
збір інформації,збирання даних; отримання розвідувальних даних,,,
інтерпретація розвідувальної інформації,тлумачення розвідувальних даних; аналіз отриманої інформації,,,
накопичення розвідувальної інформації,збирання даних; нагромадження інформації,,,
нарощування зусиль розвідки,посилення розвідувальних дій; збільшення розвідувальних заходів,,,
облік розвідувальної інформації,реєстрація розвідувальних даних; ведення обліку інформації,,,
"об'єднана система розвідки, спостереження і рекогносцировки",інтегрована система розвідки; об'єднана система моніторингу,,,
об'єкт військової розвідки,ціль військової розвідки; об'єкт дослідження,,,
обробка розвідувальної інформації,аналіз розвідувальних даних; обробка даних,,,
організація виведення розвідувальної групи в район ведення розвідки,операція виведення розвідувальної групи; організація виходу розвідгрупи,,,
оцінювання обстановки,оцінка ситуації; аналіз оперативної обстановки,,,
оцінювання противника,оцінка ворога; аналіз противника,,,
першочергові; найважливіші об'єкти розвідки,пріоритетні об'єкти; найважливіші цілі,,,
планування розвідки,розробка плану розвідки; план дій розвідувальної операції,,,
район відповідальності розвідки,область відповідальності; зона операцій,,,
район інтересу розвідки,область інтересу; зона моніторингу,,,
розвідка маршруту,маршрутна розвідка; дослідження маршруту,,,
розвідка місцевості,топографічна розвідка; дослідження місцевості,,,
розвідувальна інформація;,розвіддані; інформація розвідки,,,
розвідувальна інформація про ціль,дані про ціль; інформація про об'єкт,,,
розвідувальна підготовка,підготовка розвідників; навчання розвідувального персоналу,,,
розвідувально-бойове завдання,бойове розвідувальне завдання; оперативне бойове завдання,,,
сектор розвідки,область розвідки; зона розвідувальної діяльності,,,
система спостереження,система моніторингу; наглядова система,,,
систематизація розвідувальної інформації,упорядкування даних; організація інформації,,,
смуга розвідки,зона розвідки; діапазон розвідувальної діяльності,,,
споживач розвідувальної інформації,отримувач розвідувальних даних; користувач інформації,,,
спроможності розвідки,можливості розвідки; здатності розвідувальних сил,,,
ціль,об'єкт; завдання,,,
біологічна хімічна радіологічна ядерна розвідка,хімічна розвідка; моніторинг біологічних загроз,,,
вид військової розвідки,тип військової розвідки; категорія розвідувальних дій,,,
тактична особова розвідка,людська розвідка; персональна розвідка,,,
технічна розвідка,інженерний моніторинг; технологічна розвідка,,,
фотографічна розвідка,розвідка зображень; знімкова розвідка,,,
всеосяжність розвідки,повнота розвідки; обширність даних,,,
гнучкість розвідки,адаптивність розвідки; маневреність розвідки,,,
доступність розвідки,відкритість даних; зручність доступу до інформації,,,
надійність розвідки,вірогідність розвідувальних даних; точність інформації,,,
обмін розвідки,обмін даними; спільне використання інформації,,,
оперативна сумісність розвідки,інтеграція розвідувальних систем; співпраця розвідувальних сил,,,
повнота розвідки,завершеність розвідки; вичерпність даних,,,
придатність до використання розвідки,корисність інформації; застосовність даних,,,
точність розвідки,вірогідність даних; детальність розвідки,,,
швидкість реакції розвідки,оперативність розвідки; час реакції,,,
бойовий розвідувальний дозор,розвідувальний патруль; бойовий дозор,,,
бойова розвідувальна машина,розвідувальний бронетранспортер; бронемашина розвідки,,,
броньована розвідувально-дозорна машина,бронедозорна машина; бронетехніка розвідки,,,
військова частина  підрозділ розвідки,підрозділ розвідки; військовий відділ розвідки,,,
група управління розвідки,керівна група розвідки; координаційна група,,,
датчик,сенсор; індикатор,,,
дозорне відділення,патрульна група; спостережний підрозділ,,,
засоби розвідки,інструменти розвідки; обладнання для моніторингу,,,
комплекс розвідувально-сигналізаційних засобів,комплекс моніторингу; система спостереження,,,
орган розвідки,відділ розвідки; служба розвідки,,,
орган управління розвідки,керівництво розвідки; командування розвідки,,,
пост добування (РЕР),пост збору даних; пункт розвідки,,,
пост пеленгування (РЕР),пункт радіопеленгації; станція пеленгації,,,
пост підслуховування,пункт аудіоспостереження; станція прослуховування,,,
пост пошуку (РЕР),пункт виявлення; розвідувальний пост,,,
пост радіоперехоплення (РЕР),станція радіоперехоплення; пункт радіоаналізу,,,
пост радіорозвідки (РЕР),станція радіорозвідки; пункт радіоспостереження,,,
пост радіотехнічної розвідки (РЕР),пункт радіотехнічного спостереження; станція технічної розвідки,,,
пост спостереження (РЕР),спостережний пункт; наглядовий пост,,,
розвідник,шпигун; агент,,,
розвідувальна група (РГ),група розвідки; команда розвідників,,,
Розвідувальний безпілотний авіаційний комплекс (РБПАК),розвідувальний дрон; авіарозвідка,,,
розвідувальний дозор (РД),передовий дозор; патруль розвідки,,,
розвідувальний загін (РЗ),загін розвідників; розвідувальний підрозділ,,,
сили розвідки,розвідувальні ресурси; розвідувальні формування,,,
спостережний пост,пункт спостереження; сторожовий пост,,,
спостерігач,наглядач; розвідник,,,
"вивчення захоплених документів, зразків озброєння і військової техніки",аналіз трофеїв; дослідження трофейної техніки,,,
військовий пошук,військова розвідка; пошук військових цілей,,,
"допит (полонених, перебіжчиків, місцевих громадян)",опитування затриманих; розвідувальний допит,,,
наліт,атакувальний рейд; раптова атака,,,
опитування місцевих жителів,соціальне опитування; допит населення,,,
пеленгування,відстеження; виявлення напрямку,,,
перехоплення,перехоплення сигналу; відсічення,,,
підслуховування,прослуховування; аудіоперехоплення,,,
розвідувальний пошук,пошук розвідки; розвідувальні операції,,,
розвідка боєм,бойова розвідка; атака з розвідкою,,,
розвідувальна засідка,прихована засідка; засідка розвідників,,,
спосіб ведення розвідки,метод розвідки; тактика розвідки,,,
спостереження,моніторинг; нагляд,,,
стеження,спостереження за об'єктом; розвідницьке стеження,,,
фотографування,зйомка; фіксація,,,
відомість втрат і поповнення противника,зведення втрат ворога; звіти про втрати і підкріплення противника,,,
журнал розпоряджень і донесень,книга наказів і донесень; реєстр команд,,,
журнал спостереження,книга спостережень; реєстр спостережень,,,
карта спеціальна,спеціалізована карта; особлива карта,,,
карта цифрова,електронна карта; цифровий план,,,
позиційна точність,точність координат; просторова точність,,,
просторовий аналіз,аналіз простору; геопросторовий аналіз,,,
Активність РЕР,рівень активності розвідувальних дій РЕР; активна операційна діяльність РЕР,,,
Достовірність РЕР,якість отриманих даних; надійність інформації РЕР,,,
Оперативна РЕР,оперативність дій РЕР; швидкість виконання завдань РЕР,,,
Оперативне управління в РЕР,управління розвідувальними операціями; швидке реагування та контроль,,,
Оперативність РЕР,швидкість реакції РЕР; операційна ефективність,,,
Орган управління РЕР,структурний орган управління РЕР; керівництво РЕР,,,
Підсистема добування розвідувальних відомостей,система збору інформації; інфраструктура для розвідки,,,
"Підсистема збору, обробки, аналізу і доповіді розвідувальної інформації",система для аналітичної роботи РЕР; інфраструктура обробки даних,,,
Підсистема управління силами і засобами РЕР,координація ресурсів РЕР; управління операціями розвідки,,,
Радіорозвідка РР,радіоелектронна розвідка; отримання даних через радіо,,,
Радіотехнічна розвідка РТР,розвідка технічних даних; моніторинг через радіотехніку,,,
Скритність РЕР,приховані дії РЕР; невидимість операцій РЕР,,,
Стратегічна РЕР,довгострокове планування розвідки; стратегічне управління розвідувальними операціями,,,
Тактична РЕР,розвідка для короткострокових операцій; тактичні дії РЕР,,,
Точність визначення місцеположення об'єкта (джерела) РЕР,точність географічного положення; координатна точність,,,
Цілеспрямованість РЕР,фокусування на конкретному завданні; спрямованість операцій,,,
Викриття об'єкта РЕР,виявлення об'єкта; експозиція цілі,,,
Відоме  Раніше розвідане  джерело,раніше знайдене джерело; відомий об'єкт розвідки,,,
Доступність джерела РЕР,ступінь доступу до джерела; відкритість об'єкта,,,
Енергетична доступність джерела РЕР,рівень енергетичної ефективності; енергетичний потенціал джерела,,,
Еталонний опис Формуляр джерела РЕР,стандартний опис об'єкта; зразок документації джерела,,,
Інформативність джерела РЕР,інформаційна цінність; якість даних з джерела,,,
Інформаційна доступність джерела РЕР,обсяг доступної інформації; ступінь публічності інформації,,,
Об'єкт РЕР,ціль РЕР; об'єкт спостереження,,,
Опосередковане Непряме джерело РЕР,непряме джерело інформації; посереднє джерело даних,,,
Перелік Номенклатор джерел РЕР,список джерел інформації; перелік можливих джерел,,,
Першочерговий Найважливіший об'єкт РЕР,пріоритетний об'єкт; найважливіша ціль,,,
Структурна Апаратна доступність джерела РЕР,технічна доступність; структурна можливість доступу,,,
Автоматизований пост,пост з автоматизованими процесами; система автоматизації операцій,,,
Багатофункціональний пост,пост з багатофункціональними можливостями; універсальний пост,,,
Бойова обслуга поста,персонал для бойових дій; команда для обслуговування поста,,,
Бойовий пост,місце для виконання бойових завдань; стратегічний пост,,,
Бойові оперативно-технічні можливості добувного підрозділу РЕР ОсП,операційний потенціал підрозділу; бойові можливості підрозділу,,,
Військова частина РЕР особливого призначення ОсП,спеціалізована військова частина; підрозділ особливого призначення,,,
Добувний підрозділ РЕР ОсП,підрозділ для збору розвідувальних даних; структура для добування інформації,,,
Командний пункт КП військової частини (підрозділу) РЕР ОсП,пункт управління військовою частиною; центр керівництва операціями,,,
Комплекс РЕР,система для виконання розвідувальних операцій; розвідувальна інфраструктура,,,
Неавтоматизований пост,пост з ручним керуванням; пост без автоматизації,,,
Пост добування,місце збору інформації; точка добування даних,,,
Пост зв'язку,точка для забезпечення зв'язку; комунікаційний пост,,,
Пост обробки,місце для обробки даних; точка аналізу інформації,,,
Розвідувальний пост,місце розвідувальних операцій; пункт спостереження,,,
Сили і засоби РЕР,ресурси РЕР; інструменти для виконання завдань,,,
Організація взаємодії,координація між підрозділами; структурна взаємодія,,,
План РЕР,стратегічний план дій; планування операцій РЕР,,,
Резерв сил і засобів РЕР,резервні ресурси; запасні сили для операцій,,,
Розвідувальне завдання РзЗ,завдання для збору даних; ціль розвідки,,,
Аналіз розвідувальної інформації,аналіз даних розвідки; обробка розвідувальної інформації,,,
База пеленгування,місце для пеленгування сигналів; центр моніторингу,,,
Безперервне спостереження,постійний моніторинг; безперервний нагляд,,,
Глибина ведення РЕР,масштаб операцій; глибина розвідувальних дій,,,
Добування розвідувальних відомостей,збір розвідувальних даних; добування інформації,,,
Дорозвідка,додаткове розвідування; повторна розвідка,,,
Засічка,визначення координат; обмеження зони,,,
Зона впевненого пеленгування,область точного пеленгування; точна зона спостереження,,,
Комбінований метод визначення координат,змішаний метод знаходження координат; комплексний спосіб визначення положення,,,
Комбінований пошук,змішаний метод пошуку; комплексний пошук,,,
Кут місця цілі,кут піднесення до цілі; висота цілі,,,
Лінія положення ДРВ,лінія розташування радіовипромінювань; лінія радіоактивних джерел,,,
Обробка розвідувальної інформації,аналіз зібраної інформації; систематизація розвідувальних даних,,,
Оперативно-технічний аналіз радіовипромінювань ОТА РВ,технічний аналіз радіоактивних сигналів; операційний аналіз радіохвиль,,,
Оперативно-технічний захід,операційне технічне рішення; технічна операція,,,
Пеленгування,визначення напрямку; пеленгаційний процес,,,
Пеленгування за завданням,цільове пеленгування; пеленгування по вказівці,,,
Первинна обробка розвідувальної інформації,перший етап обробки даних; початковий аналіз розвідданих,,,
Первинне вивчення розвідувальної інформації,початковий аналіз даних; перше опрацювання інформації,,,
Перехоплення,отримання даних; захоплення сигналу,,,
Періодичне спостереження,регулярний моніторинг; систематичне спостереження,,,
Повна обробка розвідувальної інформації,комплексний аналіз даних; повний розгляд інформації,,,
Пошук,виявлення об'єкта; розвідувальний пошук,,,
Пошук за частотою,виявлення по частоті; частотне пеленгування,,,
Проводка,керування сигналами; ведення даних,,,
Радіопеленгаторна мережа РПМ,мережа пеленгаторів; система пеленгування,,,
Радіотехнічна пеленгаторна група РТПГ,група технічного пеленгування; технічний пеленгаторний загін,,,
Район особливої уваги,цільова область; зона підвищеної уваги,,,
Розвідувальні відомості,отримані дані; інформація з розвідки,,,
Розвідувальні дані,розвідувальна інформація; збір розвідданих,,,
Розвідувальна інформація (РІ) РЕР,інформація зі спостережень; розвідувальні дані РЕР,,,
Розвідувальні матеріали,матеріали зібрані в ході розвідки; документи розвідувальної операції,,,
Синхронне пеленгування,одночасне визначення напрямку; координаційне пеленгування,,,
Спостереження,моніторинг об'єкта; нагляд,,,
Тематична Довготривала обробка розвідувальної інформації,глибокий аналіз даних; тривала робота з розвідданими,,,
Узагальнення розвідувальної інформації,систематизація даних; об'єднання інформації,,,
Шифроперехоплення,перехоплення закодованих сигналів; розшифровка перехопленої інформації,,,
Довідка технічних даних,інформаційна довідка; технічна документація,,,
Загальна РЕО,загальна радіоелектронна оцінка; комплексний радіоелектронний огляд,,,
Інформаційний документ з РЕР,документ з даними РЕР; інформаційна довідка РЕР,,,
Оперативна обстановка,ситуація на полі бою; поточна ситуація,,,
Позачергове Позапланове донесення,екстрене донесення; незаплановане повідомлення,,,
Розвідувальна довідка,документ з розвідданими; інформаційна розвідка,,,
виріб (військової авіаційної техніки),продукт військової техніки; об'єкт авіаційної техніки,,,
функція (виробу військової авіаційної техніки),призначення авіаційного виробу; робота авіаційної техніки,,,
надійність виробу (військової авіаційної техніки),надійність техніки; довговічність виробу,,,
поточний аналіз надійності (військової авіаційної техніки),поточний стан надійності; періодичний аналіз,,,
граничний стан (виробу військової авіаційної техніки),максимальний ресурс виробу; стан перед поломкою,,,
причина відмови пошкодження,причина виходу з ладу; причина несправності,,,
наробіток (виробу військової авіаційної техніки),час експлуатації військової авіатехніки; період роботи авіаційного виробу,,,
деградація; деградаційний процес,погіршення технічного стану; процес старіння,,,
показник надійності (виробу військової авіаційної техніки),індекс надійності; коефіцієнт довговічності,,,
"наліт на відмову, яка призводить до невиконання бойового польотного завдання",наліт до відмови; поломка під час виконання завдання,,,
державне повітряне судно,повітряне судно державної належності; державний літальний апарат,,,
повітряне судно,літак; авіасудно,,,
потрібна функція (виробу військової авіаційної техніки),необхідна функція техніки; призначення виробу,,,
працездатний стан,робочий стан; активний стан,,,
режим технічного обслуговування,графік ТО; план техобслуговування,,,
технічне обслуговування,обслуговування техніки; технічні роботи,,,
форма технічного обслуговування,тип обслуговування; модель обслуговування,,,
цільова функція,функція призначення; завдання виробу,,,
відновні роботи,ремонтні роботи; роботи з відновлення,,,
комплектувальний виріб (повітряного судна),частина авіатехніки; компонент повітряного судна,,,
критерій граничного стану,показник критичного стану; індикатор граничного ресурсу,,,
метод технічної експлуатації до передвідмовного стану,метод роботи до відмови; експлуатація до поломки,,,
передвідмовний стан,стан перед відмовою; критичний стан,,,
упереджувальний допуск,превентивний контроль; заздалегідь допустимий параметр,,,
функціональна значущість,функціональна важливість; функціональна роль,,,
інформація,дані; відомості,,,
дані,інформаційні одиниці; дані,,,
великі дані,масив даних; об'ємна інформація,,,
програмне забезпечення,софт; комп'ютерна програма,,,
інтелектуальна система,розумна система; автоматизована система,,,
підготовлення інформаційно-аналітичних матеріалів,підготовка аналітичних матеріалів; збір інформації для аналізу,,,
узагальнення інформації,систематизація інформації; об'єднання даних,,,
розрахункова задача,обчислювальна задача; математична задача,,,
центр обробки даних,центр даних; серверна база,,,
розпорядник автоматизованої системи,власник системи; адміністратор автоматизації,,,
користувач автоматизованої системи,оператор системи; споживач автоматизації,,,
інформаційна безпека,безпека даних; захист інформації,,,
інформаційний продукт,продукт даних; інформаційний виріб,,,
попередній розгляд документів,первинний аналіз документів; попереднє опрацювання,,,
Охоронна зона,зона безпеки; область охорони,,,
Периметрові ТЗО,захисний периметр; охоронний контур,,,
детонація,вибух; детонування,,,
Безпечна по передачі детонації відстань,безпечна дистанція від вибуху; допустима відстань для вибуху,,,
Контейнерне зберігання,зберігання в контейнерах; контейнерна система зберігання,,,
Сховище захищеного типу,укріплене сховище; захищений склад,,,
Ударна хвиля (вибуху),вибухова хвиля; удар від вибуху,,,
запровадження стандарту НАТО,впровадження стандартів НАТО; адаптація стандартів НАТО,,,
відповідність призначеності (ОВТ),відповідність вимогам; фітнес для цілей,,,
міжнародний нормативний документ з військової стандартизації,глобальний військовий стандарт; міжнародна військова норма,,,
гармонізовані військові стандарти,узгоджені військові норми; гармонізовані військові правила,,,
строк дії нормативного документа,період чинності; строк валідності,,,
застосування нормативного документа з військової стандартизації,впровадження стандарту; застосування норми,,,
прийняття міжнародного стандарту,затвердження міжнародного стандарту; прийняття міжнародної норми,,,
пряме застосування міжнародного стандарту,директивне застосування; повне впровадження міжнародної норми,,,
датоване посилання на військові стандарти,фіксоване посилання; стале посилання,,,
загальне посилання на військові стандарти,узагальнене посилання; загальна довідка,,,
недатоване посилання на військові стандарти,посилання з плаваючою ідентифікацією; гнучке посилання,,,
посилання на військові стандарти в нормативно-правових актах,посилання на стандарти в законодавстві; норма в регуляціях,,,
зміна,корекція; модифікація,,,
перевірка,ревізія; перевірка стандарту,,,
захист державного кордону України,охорона кордону; захист державного рубежу,,,
оборона України,захист України; оборона національних інтересів,,,
функціональна група спроможностей,оперативна група; група спроможностей,,,
носій спроможності,основа спроможності; носій функції,,,
воєнно-політичні відносини,воєнні відносини; політична співпраця у військовій сфері,,,
збройний конфлікт,воєнний конфлікт; збройне протистояння,,,
міжнародний тероризм,глобальний тероризм; транснаціональний тероризм,,,
нейтральна зона,буферна зона; демілітаризована зона,,,
технологічний тероризм,кібертероризм; технічний тероризм,,,
стратегічні припущення,стратегічні оцінки; припущення стратегічного рівня,,,
